"Corn"|"Bu"||185|||||||"22552851"|"45163768"
"Grass-legume hay"|"Tons"||6.1|||||||"22552851"|"45163769"
"Pasture"|"AUM"||12.2|||||||"22552851"|"45163770"
"Soybeans"|"Bu"||53|||||||"22552851"|"45163771"
"Winter wheat"|"Bu"||74|||||||"22552851"|"45163772"
"Winter wheat"|"Bu"|60|61|70||||||"22552793"|"45163553"
"Soybeans"|"Bu"|44|44|51||||||"22552793"|"45163554"
"Pasture"|"AUM"|8.9|8.9|10.2||||||"22552793"|"45163555"
"Grass-legume hay"|"Tons"|4.5|4.5|5.1||||||"22552793"|"45163556"
"Corn"|"Bu"|135|135|155||||||"22552793"|"45163557"
"Corn"|"Bu"|175|175|175||||||"22552794"|"45163558"
"Grass-legume hay"|"Tons"|5.8|5.8|5.8||||||"22552794"|"45163559"
"Pasture"|"AUM"|11.6|11.6|11.6||||||"22552794"|"45163560"
"Soybeans"|"Bu"|51|51|51||||||"22552794"|"45163561"
"Winter wheat"|"Bu"|74|74|74||||||"22552794"|"45163562"
"Grass-legume hay"|"Tons"|4.6|4.6|4.6||||||"22552795"|"45163563"
"Pasture"|"AUM"|9.2|9.2|9.2||||||"22552795"|"45163564"
"Corn"|"Bu"|140|140|140||||||"22552795"|"45163565"
"Soybeans"|"Bu"|49|49|49||||||"22552795"|"45163566"
"Winter wheat"|"Bu"|63|63|70||||||"22552795"|"45163567"
"Corn"|"Bu"||175|||||||"22552764"|"45163428"
"Grass-legume hay"|"Tons"||5.8|||||||"22552764"|"45163429"
"Pasture"|"AUM"||11.6|||||||"22552764"|"45163430"
"Soybeans"|"Bu"||49|||||||"22552764"|"45163431"
"Winter wheat"|"Bu"||70|||||||"22552764"|"45163432"
"Corn"|"Bu"||175|||||||"22552765"|"45163433"
"Grass-legume hay"|"Tons"||5.8|||||||"22552765"|"45163434"
"Pasture"|"AUM"||11.6|||||||"22552765"|"45163435"
"Soybeans"|"Bu"||49|||||||"22552765"|"45163436"
"Winter wheat"|"Bu"||70|||||||"22552765"|"45163437"
"Soybeans"|"Bu"||53|||||||"22552913"|"45163998"
"Corn"|"Bu"||185|||||||"22552913"|"45163999"
"Grass-legume hay"|"Tons"||6.1|||||||"22552913"|"45164000"
"Pasture"|"AUM"||12.2|||||||"22552913"|"45164001"
"Winter wheat"|"Bu"||74|||||||"22552913"|"45164002"
"Corn"|"Bu"||185|||||||"22552914"|"45164003"
"Grass-legume hay"|"Tons"||6.1|||||||"22552914"|"45164004"
"Pasture"|"AUM"||12.2|||||||"22552914"|"45164005"
"Soybeans"|"Bu"||53|||||||"22552914"|"45164006"
"Winter wheat"|"Bu"||74|||||||"22552914"|"45164007"
"Corn"|"Bu"|117|130|143||||||"22552834"|"45163713"
"Soybeans"|"Bu"|41|46|51||||||"22552834"|"45163714"
"Winter wheat"|"Bu"|52|58|64||||||"22552834"|"45163715"
"Grass-legume hay"|"Tons"|3.9|4.3|4.7||||||"22552834"|"45163716"
"Pasture"|"AUM"|7.7|8.6|9.5||||||"22552834"|"45163717"
"Pasture"|"AUM"|7.7|8.6|9.5||||||"22552835"|"45163718"
"Grass-legume hay"|"Tons"|3.9|4.3|4.7||||||"22552835"|"45163719"
"Soybeans"|"Bu"|41|46|51||||||"22552835"|"45163720"
"Corn"|"Bu"|117|130|143||||||"22552835"|"45163721"
"Winter wheat"|"Bu"|52|58|64||||||"22552835"|"45163722"
"Grass-legume hay"|"Tons"|4.1|4.6|5.1||||||"22552836"|"45163723"
"Winter wheat"|"Bu"|49|54|59||||||"22552836"|"45163724"
"Pasture"|"AUM"|8.3|9.2|10.1||||||"22552836"|"45163725"
"Corn"|"Bu"|126|140|154||||||"22552836"|"45163726"
"Soybeans"|"Bu"|47|52|57||||||"22552836"|"45163727"
"Winter wheat"|"Bu"|56|62|68||||||"22552837"|"45163728"
"Soybeans"|"Bu"|59|65|72||||||"22552837"|"45163729"
"Corn"|"Bu"|167|185|204||||||"22552837"|"45163730"
"Grass-legume hay"|"Tons"|5.5|6.1|6.7||||||"22552837"|"45163731"
"Pasture"|"AUM"|11|12.2|13.4||||||"22552837"|"45163732"
"Corn"|"Bu"||80|||||||"22552915"|"45164008"
"Grass-legume hay"|"Tons"||2.65|||||||"22552915"|"45164009"
"Pasture"|"AUM"||5.3|||||||"22552915"|"45164010"
"Soybeans"|"Bu"||22|||||||"22552915"|"45164011"
"Winter wheat"|"Bu"||32|||||||"22552915"|"45164012"
"Corn"|"Bu"||95|||||||"22552773"|"45163473"
"Grass-legume hay"|"Tons"||3.13|||||||"22552773"|"45163474"
"Pasture"|"AUM"||6.26|||||||"22552773"|"45163475"
"Soybeans"|"Bu"||26.46|||||||"22552773"|"45163476"
"Winter wheat"|"Bu"||37.8|||||||"22552773"|"45163477"
"Corn"|"Bu"||85|||||||"22552774"|"45163478"
"Grass-legume hay"|"Tons"||3.75|||||||"22552774"|"45163479"
"Pasture"|"AUM"||5.6|||||||"22552774"|"45163480"
"Soybeans"|"Bu"||22.4|||||||"22552774"|"45163481"
"Winter wheat"|"Bu"||33.5|||||||"22552774"|"45163482"
"Soybeans"|"Bu"||51|||||||"22552921"|"45164033"
"Corn"|"Bu"||165|||||||"22552921"|"45164034"
"Grass-legume hay"|"Tons"||5.4|||||||"22552921"|"45164035"
"Pasture"|"AUM"||10.9|||||||"22552921"|"45164036"
"Winter wheat"|"Bu"||74|||||||"22552921"|"45164037"
"Corn"|"Bu"||180|||||||"22552923"|"45164038"
"Grass-legume hay"|"Tons"||5.9|||||||"22552923"|"45164039"
"Pasture"|"AUM"||11.9|||||||"22552923"|"45164040"
"Soybeans"|"Bu"||56|||||||"22552923"|"45164041"
"Winter wheat"|"Bu"||81|||||||"22552923"|"45164042"
"Corn"|"Bu"||145|||||||"22552871"|"45163848"
"Grass-legume hay"|"Tons"||4.8|||||||"22552871"|"45163849"
"Pasture"|"AUM"||9.6|||||||"22552871"|"45163850"
"Soybeans"|"Bu"||51|||||||"22552871"|"45163851"
"Winter wheat"|"Bu"||65|||||||"22552871"|"45163852"
"Corn"|"Bu"||155|||||||"22552777"|"45163488"
"Grass-legume hay"|"Tons"||5.1|||||||"22552777"|"45163489"
"Pasture"|"AUM"||10.2|||||||"22552777"|"45163490"
"Soybeans"|"Bu"||42|||||||"22552777"|"45163491"
"Winter wheat"|"Bu"||62|||||||"22552777"|"45163492"
"Corn"|"Bu"||165|||||||"22552928"|"45164058"
"Grass-legume hay"|"Tons"||5.4|||||||"22552928"|"45164059"
"Pasture"|"AUM"||10.9|||||||"22552928"|"45164060"
"Soybeans"|"Bu"||54|||||||"22552928"|"45164061"
"Winter wheat"|"Bu"||74|||||||"22552928"|"45164062"
"Corn"|"Bu"||165|||||||"22552930"|"45164063"
"Grass-legume hay"|"Tons"||5.4|||||||"22552930"|"45164064"
"Pasture"|"AUM"||10.9|||||||"22552930"|"45164065"
"Soybeans"|"Bu"||54|||||||"22552930"|"45164066"
"Winter wheat"|"Bu"||74|||||||"22552930"|"45164067"
"Corn"|"Bu"||150|||||||"22552878"|"45163868"
"Grass-legume hay"|"Tons"||5|||||||"22552878"|"45163869"
"Pasture"|"AUM"||9.9|||||||"22552878"|"45163870"
"Soybeans"|"Bu"||51|||||||"22552878"|"45163871"
"Winter wheat"|"Bu"||68|||||||"22552878"|"45163872"
"Corn"|"Bu"||170|||||||"22552881"|"45163878"
