"Argillic horizon"|18|26|38|56|73|102|36|47|84|"22552793"|"12855644"
"Ochric epipedon"|0|0|0|18|26|38|20|26|38|"22552793"|"12855645"
"Episaturation"|18|26|33|61|91|102|43|65|69|"22552793"|"12855646"
"Densic contact"|61|91|102|||||||"22552793"|"12855647"
"Mollic epipedon"|0|0|0|25|30|46|25|30|46|"22552794"|"12855648"
"Argillic horizon"|25|30|46|102|152|165|56|122|140|"22552794"|"12855649"
"Densic contact"|102|152|165|||||||"22552794"|"12855650"
"Densic contact"|89|91|101|||||||"22552795"|"12855651"
"Argillic horizon"|8|20|25|49|79|85|41|59|60|"22552795"|"12855652"
"Densic contact"|114|122|140|||||||"22552834"|"12855653"
"Argillic horizon"|5|15|24|114|122|140|90|107|135|"22552834"|"12855654"
"Densic contact"|80|91|120|200|200|200|80|109|120|"22552835"|"12855655"
"Ochric epipedon"|0|0|0|8|17|23|8|17|23|"22552835"|"12855656"
"Argillic horizon"|8|17|24|50|79|110|42|62|86|"22552835"|"12855657"
"Argillic horizon"|18|28|38|51|91|102|33|63|84|"22552836"|"12855658"
"Ochric epipedon"|0|0|0|18|20|38|18|20|38|"22552836"|"12855659"
"Densic contact"|51|91|102|||||||"22552836"|"12855660"
"Mollic epipedon"|0|0|0|15|36|44|15|36|44|"22552837"|"12855661"
"Argillic horizon"|15|36|44|110|150|180|95|114|136|"22552837"|"12855662"
