"t"|"66692609"|"27827064"
"d"|"66692610"|"27827065"
"t"|"66692483"|"27827085"
"g"|"66692483"|"27827086"
"t"|"66692621"|"27827139"
"p"|"66692494"|"27827091"
"t"|"66692620"|"27827138"
"t"|"66692493"|"27827090"
"t"|"66692495"|"27827092"
"t"|"66692611"|"27827062"
"t"|"66692608"|"27827061"
"t"|"66692622"|"27827140"
"p"|"66692607"|"27827060"
"t"|"66692492"|"27827094"
"p"|"66692618"|"27827142"
"d"|"66692614"|"27827134"
"t"|"66692485"|"27827088"
"p"|"66692489"|"27827128"
"t"|"66692490"|"27827129"
"g"|"66692490"|"27827130"
"t"|"66692625"|"27827057"
"g"|"66692625"|"27827058"
"t"|"66692613"|"27827133"
"p"|"66692626"|"27827054"
"t"|"66692617"|"27827137"
"p"|"66692615"|"27827135"
"t"|"66692624"|"27827055"
"g"|"66692624"|"27827056"
"co"|"66692606"|"27827127"
"d"|"66692486"|"27827089"
"d"|"66692491"|"27827093"
"p"|"66692482"|"27827084"
"d"|"66692623"|"27827141"
"t"|"66692612"|"27827063"
"a"|"66692605"|"27827126"
"g"|"66692627"|"27827059"
"t"|"66692616"|"27827136"
"t"|"66692487"|"27827131"
"g"|"66692487"|"27827132"
"t"|"66692484"|"27827087"
