"H1"||"H"||1||0|||33|||33||0|0|0|0|0|0|100|100|100|100|100|100|95|97.5|100|85|92.5|100||10|||0|||1|||2|||4|||3|||59||||||||28|31|35||||3|4.5|6||||1.2|1.4|1.6|||||1.6|||4.23|9.17|14.11|0.2|0.23|0.26|||||34.5|||22.9|||43||3|4.5|5.9|35|45|55|10|20|30|8|20|34|".28"|".28"|0|0|0|0|0|0|0|0|0|0|0|0|17|27|37||||10|21|33|6.1|6.7|7.3||||||||||2.9|6.2|9.4|||||||||||||||||||||"22552851"|"66692651"
"H2"||"H"||2||33|||76|||43||0|0|0|0|0|0|100|100|100|100|100|100|90|95|100|80|90|100||10|||0|||1|||2|||4|||3|||56||||||||20|34|35||||1|2|3||||1.4|1.5|1.6|||||1.71|||4.23|9.17|14.11|0.18|0.2|0.21|||||34.6|||23|||40||3|4.5|5.9|25|45|65|4|22|40|1|21|46|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0|0|10|18.5|27||||7|17|24|6.6|7.2|7.8||||||||||0|3|5.9|||||||||||||||||||||"22552851"|"66692652"
"H3"||"H"||3||76|||114|||38||0|0|0|0|1|1|95|97.5|100|90|95|100|85|90|95|55|67.5|80||41|||3|||5|||10|||15|||8|||40||||||||15|19|35||||0.5|0.75|1||||1.5|1.6|1.7|||||1.83|||4.23|9.17|14.11|0.12|0.14|0.16|||||27.4|||12.8|||36||3|4.5|5.9|20|35|50|5|17.5|30|0|9|24|".43"|".43"|0|13|25|0|0|0|0|0|0|0|0|0|7|15|23||||5|13|21|6.6|7.2|7.8||||||||||0|2.1|4.8|||||||||||||||||||||"22552851"|"66692653"
"H4"||"H"||4||114|||152|||38||0|1|1|0|2|3|90|95|100|85|91.5|98|75|82.5|90|45|57.5|70||45|||2|||3|||12|||18|||10|||40||||||||12|15|18||||0.5|0.75|1||||1.7|1.8|1.9|||||1.89|||0.42|0.92|1.41|0.02|0.07|0.12|||||25.4|||11.1|||28||0|1.5|2.9|15|22.5|30|0|7.5|15|0|1|8|".43"|".43"|15|28|40|0|0|0|0|0|0|0|0|0|6|9.5|13||||5|9|12|7.4|7.9|8.4||||||||||0|0|1.5|||||||||||||||||||||"22552851"|"66692654"
"Ap"||"A"|||0|0|0|18|26|28|18|26|28|0|0|0|0|0|0|95|100|100|85|100|100|74|95|100|58|76|90|6|29|37|0|1.1|4|1|2.3|5|1|5.8|9|2|11.2|17|1|8.6|14|50|56|81|14|16|56|5|40|48|7|15|26|0|0|0|1|2.5|3||||1.39|1.42|1.46||||1.44|1.47|1.53||4.23|9.17|14.11|0.17|0.21|0.26||||18.9|27.4|32.1|4.9|11.9|18.6|39|44|45|0.4|1.2|2.6|20|31|42|3|9|18|0|5|17|".37"|".37"|0|0|0|0|0|0|0|0|0|0|0|2|3.8|8.2|14.1||||3|8.2|22.1|6|7.2|7.3||||||||||0|1.8|6.8|||||||||||||||||||||"22552793"|"66692482"
"Btg"||"B"|||18|26|28|31|42|56|13|16|28|0|0|0|0|0|0|95|100|100|84|100|100|73|96|100|59|84|97|8|20|28|0|0.9|2|0|1.7|3|1|3.9|4|1|7.1|10|1|6.4|8|32|51|65|6|22|31|5|29|46|27|29|40|0|0|0|1|1.5|2||||1.3|1.36|1.42||||1.43|1.49|1.6||4.23|9.17|14.11|0.14|0.21|0.21||||24.3|31.5|36.5|10.1|17.6|26.7|40|46|49|1.9|3|5.2|38|41|53|18|20|28|8|16|31|".43"|".43"|0|0|0|0|0|0|0|0|0|0|0|2|9.7|15.6|24.1||||4.9|15|32.1|5.4|6.9|7.3||||||||||0.8|3.5|10|||||||||||||||||||||"22552793"|"66692483"
"2Bt"|2|"B"|||31|42|56|56|73|84|25|31|35|0|0|0|0|0|0|95|98|100|85|96|100|67|88|100|45|64|81|20|39|45|0|2.4|4|1|3.7|6|0|8.1|9|0|14.7|18|1|10.1|12|15|30|53|12|12|18|6|18|36|27|31|40|0|0|0|0.5|0.75|1||||1.31|1.42|1.52||||1.45|1.56|1.71||4.23|9.17|14.11|0.07|0.17|0.17||||23.7|31.9|37.9|9.3|19|29.8|37|44|48|1.7|3.2|5.4|36|42|52|18|22|29|4|11|24|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0|2|8.5|16.5|25.5||||5.2|15.8|33.5|5.8|6.8|7.3||||||||||0.2|3.5|8.4|||||||||||||||||||||"22552793"|"66692484"
"2BCt"|2|"BC"|||56|73|84|61|91|102|5|18|46|0|0|1|0|1|4|91|96|100|77|95|100|59|86|98|38|62|77|23|41|60|0|3|3|0|5|7|1|6|10|0|15|16|2|12|15|5|34|53|8|18|27|5|16|34|16|25|37|0|1|2|0.5|0.75|1||||1.42|1.48|1.54||||1.52|1.58|1.67||0.42|0.92|1.41|0.07|0.14|0.17||||21.5|29.3|34.7|8.4|15.3|23.2|33|41|44|1.1|2.2|4|27|36|48|9|17|26|0|8|20|".37"|".37"|0|20|40|0|0|0|0|0|0|0|0|2|8.5|12.8|18.6||||8.2|51.5|57.6|7.4|8|8.4||||||||||0|0|2.3|||||||||||||||||||||"22552793"|"66692485"
"2Cd"|2|"C"|||61|91|102|200|200|200|98|109|139|0|0|0|0|3|4|88|94|99|74|89|99|55|77|99|35|56|77|23|44|70|0|6|7|0|6|10|5|7|9|2|14|52|1|11|27|4|39|50|8|26|32|6|13|39|16|17|27|0|2|3|0|0.25|0.5||||1.61|1.76|1.91||||1.67|1.82|2||0.07|0.216|1.41|0.01|0.02|0.03||||18|25.2|31.9|8.9|11.2|26.6|21|30|38|0.9|1.1|3.1|25|27|38|9|10|19|0|2|13|".49"|".49"|15|30|55|0|0|0|0|0|0|0|0|2|7.9|8.1|17.9||||46.6|46.8|56.9|7.4|8.2|8.4||||||||||0|0|1.9|||||||||||||||||||||"22552793"|"66692486"
"2Btg2"|2|"B"||2|43|51|70|102|152|193||101||0|0|0|0|0|1|95|96|99|84|91|98|67|87|97|57|77|86|8|18|20|0|1|3|0|2|4|1|4|13|2|6|22|2|5|12|42|47|63|5|20|29|18|27|43|27|35|38|0|0|1|0.5|0.75|1||||1.41|1.44|1.46||||1.64|1.67|1.72||4.23|5.65|7.06|0.12|0.14|0.16||||24|31.8|34.3|9.9|20|22.9|37|40|43|2.4|4.9|5.7|37|46|50|18|25|27|3|18|24|".32"|".32"|0|0|45|0|0|0|0|0|0|0|0|2|14.7|27.2|28.9||||13.1|60.5|67.9|6.1|7.3|8.4||||||||||0|3.2|6.8|||||||||||||||||||||"22552794"|"66692487"
"2C"|2|"C"|||102|152|193|200|200|200||48||0|0|0|0|1|1|92|97|99|79|92|99|64|83|96|46|62|73|25|40|60|1|3|5|1|5|7|3|8|13|7|15|20|4|9|14|16|42|50|9|16|21|21|26|34|11|18|27|1|1|2|0.1|0.3|0.5||||1.73|1.76|1.78||||1.84|1.87|1.95||0.42|2.82|4.23|0.02|0.03|0.04||||20|27.6|30.3|6.7|13.7|19.7|26|30|32|0.8|1.7|3.3|21|29|37|6|11|18|0|5|11|".43"|".43"|2|30|31|0|0|0|0|0|0|0|0|2|8.1|15.1|19.7||||28.7|53.8|58.7|7.4|7.9|8.4||||||||||0|0.1|2|||||||||||||||||||||"22552794"|"66692488"
"Ap"||"A"|||0|0|0|25|30|43||30||0|0|0|0|0|0|100|100|100|96|100|100|91|96|100|82|86|93|10|17|20|0|1|5|1|2|4|1|4|4|3|5|11|2|5|9|46|55|63|12|19|28|31|36|48|27|28|35|0|0|0|2|3.5|5||||1.33|1.38|1.43||||1.5|1.55|1.62||4.23|9.17|14.11|0.2|0.2|0.26||||30.7|32.8|35.8|17|19.7|25.3|41|44|46|3.6|4|5.5|41|45|55|19|19|24|15|17|26|".24"|".24"|0|0|29|0|0|0|0|0|0|0|0|2|22.3|23.6|29.3||||19.5|21.9|68.3|5.6|6.5|7.3||||||||||3.1|6|9.6|||||||||||||||||||||"22552794"|"66692489"
