"Silty clay loam"||"134317589"|"136619351"
"Silt loam"||"134317787"|"136618640"
"Silty clay loam"||"134317088"|"136618831"
"Silt loam"||"134317547"|"136619009"
"Loam"||"134317842"|"136618694"
"Loam"||"134317099"|"136618858"
"Silty clay loam"||"134317779"|"136618473"
"Loam"||"134317450"|"136618400"
"Silt loam"||"134317365"|"136619209"
"Silt loam"||"134317089"|"136618832"
"Silty clay loam"||"134317446"|"136618904"
"Fine sandy loam"||"134317391"|"136619255"
"Silty clay loam"||"134317768"|"136618468"
"Silt loam"||"134317380"|"136619252"
"Clay loam"||"134317818"|"136619000"
"Silt loam"||"134317082"|"136618660"
"Loam"||"134317599"|"136619041"
"Silt loam"||"134317840"|"136619027"
"Silt loam"||"134317027"|"136618917"
"Silty clay loam"||"134317173"|"136619048"
"Fine sandy loam"||"134317377"|"136619164"
"Silt loam"||"134317181"|"136619403"
"Silt loam"||"134317809"|"136619003"
"Loam"||"134317820"|"136619002"
"Loam"||"134317100"|"136618687"
"Sandy loam"||"134317100"|"136618688"
"Silty clay"||"134317387"|"136619082"
|"Muck"|"134317361"|"136619182"
"Sand"||"134317778"|"136618634"
"Silt loam"||"134317778"|"136618632"
"Silt"||"134317778"|"136618633"
"Loam"||"134317366"|"136619129"
"Silty clay loam"||"134317029"|"136618414"
"Silt loam"||"134317777"|"136618467"
|"Coprogenous earth"|"134317362"|"136619278"
"Clay loam"||"134317166"|"136619133"
"Clay loam"||"134317580"|"136619257"
"Silty clay loam"||"134317080"|"136618995"
"Silty clay loam"||"134317398"|"136619396"
"Silty clay loam"||"134317028"|"136618579"
"Silty clay loam"||"134317177"|"136619047"
"Silt loam"||"134317578"|"136619038"
"Silty clay loam"||"134317810"|"136618668"
"Loam"||"134317376"|"136619163"
"Loam"||"134317591"|"136619352"
"Loam"||"134317372"|"136619127"
"Silt loam"||"134317383"|"136619167"
"Sandy loam"||"134317813"|"136618504"
"Sandy loam"||"134317175"|"136619230"
"Silty clay loam"||"134317394"|"136619394"
"Silt loam"||"134317164"|"136619131"
"Sandy loam"||"134317022"|"136618578"
"Silty clay loam"||"134317026"|"136618916"
"Silty clay loam"||"134317085"|"136618661"
"Clay loam"||"134317081"|"136618493"
"Loam"||"134317784"|"136618978"
"Clay loam"||"134317386"|"136619081"
"Clay loam"||"134317449"|"136618565"
"Silty clay"||"134317780"|"136618639"
"Silt loam"||"134317817"|"136618667"
"Fine sandy loam"||"134317185"|"136619214"
"Silty clay loam"||"134317839"|"136619026"
