"CH"|No |"66692651"|"124301785"
"CL"|Yes|"66692651"|"124301786"
"ML"|No |"66692651"|"124301787"
"CL-ML"|No |"66692652"|"124301790"
"CH"|No |"66692652"|"124301788"
"CL"|Yes|"66692652"|"124301789"
"CL-ML"|No |"66692653"|"124301792"
"CL"|Yes|"66692653"|"124301791"
"CL-ML"|No |"66692654"|"124301794"
"CL"|Yes|"66692654"|"124301793"
"ML"|No |"66692654"|"124301795"
"CL-ML"|No |"66692482"|"124301377"
"CL"|Yes|"66692482"|"124301376"
"ML"|No |"66692482"|"124301378"
"CL"|Yes|"66692483"|"124301379"
"CL"|Yes|"66692484"|"124301380"
"CL"|Yes|"66692485"|"124301382"
"ML"|No |"66692485"|"124301381"
"CL"|Yes|"66692486"|"124301383"
"SC"|No |"66692486"|"124301384"
"CL"|Yes|"66692487"|"124301385"
"CL-ML"|No |"66692488"|"124301387"
"CL"|Yes|"66692488"|"124301386"
"CL"|Yes|"66692489"|"124301388"
"CL"|Yes|"66692490"|"124301389"
"CL"|Yes|"66692491"|"124301391"
"SC"|No |"66692491"|"124301390"
"CL"|Yes|"66692492"|"124301392"
"CL"|Yes|"66692493"|"124301393"
"CL-ML"|No |"66692494"|"124301396"
"CL"|Yes|"66692494"|"124301395"
"ML"|No |"66692494"|"124301394"
"CL"|Yes|"66692495"|"124301398"
"SC"|No |"66692495"|"124301397"
"CL-ML"|No |"66692400"|"124301146"
"SC-SM"|No |"66692400"|"124301148"
"CL"|Yes|"66692400"|"124301145"
"SC"|No |"66692400"|"124301147"
"SC-SM"|No |"66692401"|"124301151"
"CL"|Yes|"66692401"|"124301149"
"SC"|No |"66692401"|"124301150"
"SM"|No |"66692401"|"124301152"
"CH"|No |"66692402"|"124301153"
"CL"|Yes|"66692402"|"124301154"
"ML"|No |"66692402"|"124301155"
"CL-ML"|No |"66692403"|"124301158"
"CH"|No |"66692403"|"124301156"
"CL"|Yes|"66692403"|"124301157"
"CH"|No |"66692404"|"124301159"
"CL"|Yes|"66692404"|"124301160"
"ML"|No |"66692404"|"124301161"
"CH"|Yes|"66692405"|"124301162"
"CL"|No |"66692405"|"124301163"
"CL-ML"|No |"66692406"|"124301165"
"SC-SM"|No |"66692406"|"124301167"
"CL"|Yes|"66692406"|"124301164"
"SC"|No |"66692406"|"124301166"
"CL-ML"|No |"66692407"|"124301169"
"SP-SM"|No |"66692407"|"124301171"
"CL"|No |"66692407"|"124301168"
"SC"|Yes|"66692407"|"124301172"
"SM"|No |"66692407"|"124301170"
"CH"|No |"66692833"|"124302284"
"CL"|Yes|"66692833"|"124302285"
"ML"|No |"66692833"|"124302286"
